institution,policy,n_mddo,state,ratio_fnb,ratio_non,discriminant
Stanford,fewer,1324,CA,0.9027,1.2274,1.3597
Univ Rochester,all three,401,NY,0.5305,0.7172,1.3519
UCSF,fewer,1226,CA,0.7932,1.0232,1.29
Boston University,all three,332,MA,0.7181,0.9163,1.276
UC San Diego,fewer,1003,CA,1.0273,1.2375,1.2047
UC Davis,fewer,844,CA,0.9082,1.0673,1.1752
Univ Illinois Chicago,all three,515,IL,0.9042,1.0509,1.1623
Thomas Jefferson,fewer,609,PA,1.0375,1.1994,1.156
Rush,all three,740,IL,0.9164,1.0219,1.1151
UCLA,all three,1369,CA,0.9156,1.0096,1.1027
USC Keck,all three,543,CA,1.1253,1.2314,1.0942
Univ Pittsburgh,all three,1445,PA,0.9031,0.9791,1.0841
Northwestern,fewer,1814,IL,0.9255,0.9876,1.0671
Mount Sinai,fewer,1849,NY,0.956,1.0177,1.0645
Temple,fewer,772,PA,0.9414,0.9627,1.0226
New York Medical College*,all three,343,NY,1.1176,1.0931,0.9781
Univ Massachusetts,all three,1042,MA,0.9211,0.8772,0.9523
SUNY Downstate,all three,135,NY,1.1587,1.0813,0.9332
