org_pac_id,org_name,n_mddo,state,is_kaiser,ratio_fnb,ratio_non
0042105678,HERITAGE VALLEY MULTISPECIALTY GROUP INC,104,PA,false,1.1788,1.4901
0042119661,"LOUDOUN MEDICAL GROUP, PC",100,VA,false,1.2106,1.3131
0042122244,"NORTHBAY PHYSICIANS SURGERY CENTER, LLC",129,CA,false,1.1235,1.077
0042123028,NORTH MEMORIAL HEALTH CARE,189,MN,false,1.0112,1.1209
0042128548,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,566,TX,false,0.9536,0.9908
0042307852,SOUTHEASTERN PHYSICIAN SERVICES PC,273,TN,false,1.0993,0.6861
0042448169,UWH OF THE CAROLINAS PLLC,213,NC,false,1.1112,1.2226
0042569758,AMERICAN ONCOLOGY PARTNERS PA,135,IN,false,1.0498,1.1091
0143113878,FLORIDA EMERGENCY PHYSICIANS KANG AND ASSOCIATES MD LLC,190,FL,false,1.4838,2.4987
0143378117,CAROLINAEAST PHYSICIANS,103,NC,false,1.1025,0.9662
0143608372,SSM HEALTH CARE GROUP,397,MO,false,0.9796,1.1307
0244133494,MASS GENERAL BRIGHAM MEDICAL GROUP SUBURBAN MASSACHUSETTS INC,206,MA,false,0.6711,0.5624
0244134021,WINCHESTER MEDICAL CENTER,122,VA,false,1.1449,1.1504
0244135762,"ADVENTIST HEALTH PARTNERS, INC.",148,IL,false,1.192,0.964
0244136067,"W. A. FOOTE MEMORIAL HOSPITAL, INC.",132,MI,false,0.9774,1.0664
0244136448,LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,204,LA,false,1.0804,1.1105
0244138196,SWEDISH HEALTH SERVICES,450,WA,false,1.0348,1.1195
0244143246,EAST CAROLINA UNIVERSITY,172,NC,false,0.9899,0.9647
0244144004,LEGACY CLINICS LLC,289,OR,false,0.9859,0.9685
0244148633,BRONSON METHODIST HOSPITAL,319,MI,false,1.1441,0.9558
0244149474,ROCHESTER GENERAL HOSPITAL,430,NY,false,0.9476,0.9668
0244232874,OXFORD PHYSICAL THERAPY AND REHABILITATION,179,OH,false,1.0772,1.1632
0244314102,"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",143,OH,false,1.0705,0.911
0244380434,PUBLIC HEALTH TRUST OF MIAMI DADE COUNTY FLORIDA,110,FL,false,1.1266,1.1808
0244413391,AFFINITY PHYSICIANS LLC.,290,RI,false,0.9642,0.984
0345136412,BEACON ORTHOPAEDICS AND SPORTS MEDICINE LTD,114,OH,false,0.9991,1.1251
0345139929,PROVIDENCE HEALTH AND SERVICES WASHINGTON,324,WA,false,1.1566,1.0933
0345146254,FLORIDA CLINICAL PRACTICE ASSOCIATION INC,744,FL,false,0.8353,0.9906
0345152443,MAYO CLINIC HEALTH SYSTEM-SOUTHWEST WISCONSIN REGION INC,191,WI,false,0.8876,0.8306
0345157103,AVERA MCKENNAN,328,SD,false,0.9774,1.0935
0345321691,"PIEDMONT CARDIOLOGY OF ATLANTA, LLC",173,GA,false,1.0438,1.1702
0345343893,VIDANT MEDICAL GROUP LLC,417,NC,false,1.1492,1.0298
0345406294,COMMUNITY FOUNDATION MEDICAL GROUP,129,CA,false,1.2608,1.361
0345413258,MICHIGAN HEALTHCARE PROFESSIONALS PC,305,MI,false,1.1488,1.2056
0345588711,TEMPLE FACULTY PRACTICE PLAN INC,680,PA,false,0.9214,0.9893
0446154231,HARBIN CLINIC LLC,106,GA,false,1.0406,0.9017
0446157747,USC CARE MEDICAL GROUP INC,543,CA,false,1.1253,1.2314
0446162697,THE ASSOCIATION OF UNIVERSITY PHYSICIANS,1482,WA,false,0.7871,1.0367
0446163760,ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,242,LA,false,0.9666,1.1752
0446169114,CEDARS-SINAI MEDICAL CENTER,237,CA,false,1.0612,1.4067
0446337802,LSUHN BILLING LLC,105,LA,false,1.0224,0.9978
0547157224,ORTHOVIRGINIA INC,136,VA,false,1.0726,1.0784
0547164295,BEAVER MEDICAL GROUP P C,127,CA,false,1.1245,0.6727
0547166076,"SPRINGFIELD CLINIC, LLP",282,IL,false,1.0061,0.9527
0547173866,FRANCISCAN MEDICAL GROUP,613,WA,false,1.0621,1.1319
0547178311,HENRY FORD HEALTH SYSTEM,1123,MI,false,0.8895,0.9513
0547413825,MEDSTAR MEDICAL GROUP II LLC,1383,MD,false,0.9943,0.9694
0547579427,KINGS PHYSICIAN SERVICES PC,232,NY,false,1.0499,0.8926
0648172809,"BARNABAS HEALTH MEDICAL GROUP, PC",101,NJ,false,1.1696,1.2119
0648177733,BAPTIST PRIMARY CARE INC,303,FL,false,1.1337,1.1721
0648177873,MERCY HEALTH NORTHWEST ARKANSAS COMMUNITIES,160,AR,false,1.0997,1.0143
0648180406,HENRY FORD SEMI MEDICAL GROUP,129,MI,false,1.0768,0.9902
0648181156,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,809,NC,false,0.8198,1.0035
0648183608,PROVIDENCE HEALTH AND SERVICES OREGON,713,OR,false,0.8826,0.8057
0648188250,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,1359,TX,false,0.8789,0.9241
0648255034,OWENSBORO HEALTH MEDICAL GROUP INC,203,KY,false,1.0723,1.0495
0648271155,FLORIDA MEDICAL ASSOCIATES LLC,125,FL,false,1.0698,0.243
0648465039,CITY MEDICAL OF UPPER EAST SIDE PLLC,336,NY,false,0.7959,0.9659
0648631192,OHI WEST MEDICAL GROUP II LLC,205,FL,false,1.0592,1.2398
0749171957,SOUTHCOAST PHYSICIANS GROUP INC,331,MA,false,1.0333,0.9591
0749180198,CLINICAL HEALTH CARE ASSOCIATES OF NEW JERSEY PC,276,NJ,false,0.9781,0.9419
