state,n,pct_any_fnb,pct_fully_engaged,pct_meal_only,pct_relationship_only,pct_no_record
VT,1465,24.642,11.058,13.584,6.416,68.942
MN,13680,45.314,19.094,26.221,3.626,51.06
ME,3477,46.707,15.703,31.004,2.531,50.762
WI,12772,52.325,21.438,30.888,3.461,44.214
MA,20163,54.917,23.34,31.578,3.333,41.75
WA,15295,55.253,21.406,33.848,2.216,42.53
OR,8981,55.974,21.657,34.317,1.815,42.211
NH,3321,57.904,21.74,36.164,2.83,39.265
RI,3191,58.446,21.686,36.76,2.037,39.517
AK,1425,60.14,23.228,36.912,0.982,38.877
DC,2892,63.658,24.55,39.108,1.349,34.993
MT,2169,65.514,23.698,41.817,1.936,32.55
NM,3494,65.627,24.013,41.614,1.059,33.314
WY,905,66.519,24.751,41.768,1.105,32.376
IA,5858,67.019,26.016,41.004,2.151,30.83
CO,12018,67.091,26.444,40.647,1.032,31.877
CT,9519,67.654,29.278,38.376,2.227,30.119
CA,77176,68.287,26.771,41.515,1.108,30.605
HI,2948,68.928,23.745,45.183,0.712,30.36
ND,1546,69.276,26.714,42.561,1.876,28.849
NY,51083,69.691,26.839,42.852,1.472,28.837
UT,5442,70.82,31.606,39.214,1.341,27.839
IL,29549,71.715,28.069,43.646,1.404,26.881
MD,13017,71.752,29.592,42.16,1.221,27.026
ID,3069,72.01,27.631,44.379,1.173,26.817
PA,34297,72.298,27.381,44.916,1.356,26.346
VA,16106,72.731,30.877,41.854,1.074,26.195
MI,24642,73.314,28.131,45.183,1.347,25.339
SD,1731,74.292,30.156,44.136,1.675,24.032
OH,25715,76.049,31.826,44.223,1.276,22.675
DE,2159,76.1,29.643,46.457,0.463,23.437
AZ,13266,76.964,34.125,42.839,0.754,22.283
WV,3739,77.828,29.232,48.596,0.615,21.557
MO,13832,77.892,32.866,45.026,1.135,20.973
NC,20423,77.902,31.592,46.311,1.209,20.888
KS,5559,78.018,29.879,48.138,0.863,21.119
PR,8665,78.384,19.411,58.973,0.473,21.143
IN,12447,80.75,34.129,46.622,0.956,18.294
TN,12412,81.115,36.481,44.634,0.894,17.991
AR,5260,81.331,31.046,50.285,0.684,17.985
NE,3887,81.374,31.464,49.91,0.9,17.726
OK,7040,81.818,31.804,50.014,0.412,17.77
NV,4994,81.918,33.36,48.558,0.501,17.581
NJ,19804,82.473,33.019,49.455,0.712,16.815
TX,47868,82.525,35.425,47.1,0.572,16.903
KY,8508,83.216,37.506,45.71,0.823,15.961
SC,10674,83.24,32.144,51.096,0.487,16.273
GA,18877,83.573,35.466,48.106,0.71,15.718
FL,47037,84.123,34.93,49.193,0.546,15.33
AL,8749,86.776,34.941,51.834,0.549,12.676
LA,9474,87.017,36.521,50.496,0.243,12.74
MS,4570,90.066,35.033,55.033,0.153,9.781
